relation,display_relation,x_type,x_name,y_type,y_name
contraindication,contraindication,drug,morphine,disease,chronic obstructive pulmonary disease
contraindication,contraindication,drug,morphine,disease,"copd, severe early onset"
contraindication,contraindication,drug,scopolamine,disease,chronic obstructive pulmonary disease
contraindication,contraindication,drug,scopolamine,disease,"copd, severe early onset"
contraindication,contraindication,drug,fentanyl,disease,chronic obstructive pulmonary disease
contraindication,contraindication,drug,fentanyl,disease,"copd, severe early onset"
contraindication,contraindication,drug,ribavirin,disease,chronic obstructive pulmonary disease
contraindication,contraindication,drug,ribavirin,disease,"copd, severe early onset"
contraindication,contraindication,drug,galantamine,disease,chronic obstructive pulmonary disease
contraindication,contraindication,drug,galantamine,disease,"copd, severe early onset"
contraindication,contraindication,drug,ibuprofen,disease,chronic obstructive pulmonary disease
contraindication,contraindication,drug,ibuprofen,disease,"copd, severe early onset"
contraindication,contraindication,drug,morphine,disease,gastric ulcer (disease)
contraindication,contraindication,drug,scopolamine,disease,gastric ulcer (disease)
contraindication,contraindication,drug,resorcinol,disease,anogenital human papillomavirus infection
contraindication,contraindication,drug,resorcinol,disease,common wart
contraindication,contraindication,drug,mannitol,disease,anxiety disorder
contraindication,contraindication,drug,mannitol,disease,neurotic disorder
contraindication,contraindication,drug,mannitol,disease,dysthymic disorder
contraindication,contraindication,drug,morphine,disease,anxiety disorder
contraindication,contraindication,drug,morphine,disease,neurotic disorder
contraindication,contraindication,drug,morphine,disease,dysthymic disorder
contraindication,contraindication,drug,acitretin,disease,anxiety disorder
contraindication,contraindication,drug,acitretin,disease,neurotic disorder
contraindication,contraindication,drug,acitretin,disease,dysthymic disorder
contraindication,contraindication,drug,scopolamine,disease,anxiety disorder
contraindication,contraindication,drug,scopolamine,disease,neurotic disorder
contraindication,contraindication,drug,scopolamine,disease,dysthymic disorder
contraindication,contraindication,drug,isotretinoin,disease,anxiety disorder
contraindication,contraindication,drug,isotretinoin,disease,neurotic disorder
contraindication,contraindication,drug,isotretinoin,disease,dysthymic disorder
contraindication,contraindication,drug,fentanyl,disease,anxiety disorder
contraindication,contraindication,drug,fentanyl,disease,neurotic disorder
contraindication,contraindication,drug,fentanyl,disease,dysthymic disorder
contraindication,contraindication,drug,yohimbine,disease,anxiety disorder
contraindication,contraindication,drug,yohimbine,disease,neurotic disorder
contraindication,contraindication,drug,yohimbine,disease,dysthymic disorder
contraindication,contraindication,drug,prednisone,disease,carbamoyl phosphate synthetase i deficiency disease
contraindication,contraindication,drug,clarithromycin,disease,inherited porphyria
contraindication,contraindication,drug,clarithromycin,disease,porphyrin metabolism disease
contraindication,contraindication,drug,clarithromycin,disease,porphyria
contraindication,contraindication,drug,trimethoprim,disease,inherited porphyria
contraindication,contraindication,drug,trimethoprim,disease,porphyrin metabolism disease
contraindication,contraindication,drug,trimethoprim,disease,porphyria
contraindication,contraindication,drug,mannitol,disease,inherited porphyria
contraindication,contraindication,drug,mannitol,disease,porphyrin metabolism disease
contraindication,contraindication,drug,mannitol,disease,porphyria
contraindication,contraindication,drug,scopolamine,disease,inherited porphyria
contraindication,contraindication,drug,scopolamine,disease,porphyrin metabolism disease
contraindication,contraindication,drug,scopolamine,disease,porphyria
contraindication,contraindication,drug,esmolol,disease,kidney disease
contraindication,contraindication,drug,esmolol,disease,pyoureter
contraindication,contraindication,drug,clarithromycin,disease,kidney disease
contraindication,contraindication,drug,clarithromycin,disease,pyoureter
contraindication,contraindication,drug,amantadine,disease,kidney disease
contraindication,contraindication,drug,amantadine,disease,pyoureter
contraindication,contraindication,drug,paromomycin,disease,kidney disease
contraindication,contraindication,drug,paromomycin,disease,pyoureter
contraindication,contraindication,drug,cilostazol,disease,kidney disease
contraindication,contraindication,drug,cilostazol,disease,pyoureter
contraindication,contraindication,drug,trimethoprim,disease,kidney disease
contraindication,contraindication,drug,trimethoprim,disease,pyoureter
contraindication,contraindication,drug,meloxicam,disease,kidney disease
contraindication,contraindication,drug,meloxicam,disease,pyoureter
contraindication,contraindication,drug,metformin,disease,kidney disease
contraindication,contraindication,drug,metformin,disease,pyoureter
contraindication,contraindication,drug,morphine,disease,kidney disease
contraindication,contraindication,drug,morphine,disease,pyoureter
contraindication,contraindication,drug,tizanidine,disease,kidney disease
contraindication,contraindication,drug,tizanidine,disease,pyoureter
contraindication,contraindication,drug,scopolamine,disease,kidney disease
contraindication,contraindication,drug,scopolamine,disease,pyoureter
contraindication,contraindication,drug,isotretinoin,disease,kidney disease
contraindication,contraindication,drug,isotretinoin,disease,pyoureter
contraindication,contraindication,drug,fentanyl,disease,kidney disease
contraindication,contraindication,drug,fentanyl,disease,pyoureter
contraindication,contraindication,drug,amikacin,disease,kidney disease
contraindication,contraindication,drug,amikacin,disease,pyoureter
contraindication,contraindication,drug,galantamine,disease,kidney disease
contraindication,contraindication,drug,galantamine,disease,pyoureter
contraindication,contraindication,drug,zidovudine,disease,kidney disease
contraindication,contraindication,drug,zidovudine,disease,pyoureter
contraindication,contraindication,drug,ketoprofen,disease,kidney disease
contraindication,contraindication,drug,ketoprofen,disease,pyoureter
contraindication,contraindication,drug,ibuprofen,disease,kidney disease
contraindication,contraindication,drug,ibuprofen,disease,pyoureter
contraindication,contraindication,drug,yohimbine,disease,kidney disease
contraindication,contraindication,drug,yohimbine,disease,pyoureter
contraindication,contraindication,drug,bacitracin,disease,kidney disease
contraindication,contraindication,drug,bacitracin,disease,pyoureter
contraindication,contraindication,drug,resorcinol,disease,kidney disease
contraindication,contraindication,drug,resorcinol,disease,pyoureter
contraindication,contraindication,drug,prednisone,disease,hyperargininemia
contraindication,contraindication,drug,zidovudine,disease,pancreatitis
contraindication,contraindication,drug,prednisone,disease,citrullinemia
contraindication,contraindication,drug,metformin,disease,pancreatitis
contraindication,contraindication,drug,morphine,disease,pancreatitis
contraindication,contraindication,drug,acitretin,disease,pancreatitis
contraindication,contraindication,drug,scopolamine,disease,pancreatitis
contraindication,contraindication,drug,isotretinoin,disease,pancreatitis
contraindication,contraindication,drug,fentanyl,disease,pancreatitis
contraindication,contraindication,drug,ezetimibe,disease,pancreatitis
contraindication,contraindication,drug,clarithromycin,disease,liver disease
contraindication,contraindication,drug,clarithromycin,disease,gallbladder disease
contraindication,contraindication,drug,cilostazol,disease,liver disease
contraindication,contraindication,drug,cilostazol,disease,gallbladder disease
contraindication,contraindication,drug,trimethoprim,disease,liver disease
contraindication,contraindication,drug,trimethoprim,disease,gallbladder disease
contraindication,contraindication,drug,mannitol,disease,liver disease
contraindication,contraindication,drug,mannitol,disease,gallbladder disease
contraindication,contraindication,drug,metformin,disease,liver disease
contraindication,contraindication,drug,metformin,disease,gallbladder disease
contraindication,contraindication,drug,ketoconazole,disease,liver disease
contraindication,contraindication,drug,ketoconazole,disease,gallbladder disease
contraindication,contraindication,drug,morphine,disease,liver disease
contraindication,contraindication,drug,morphine,disease,gallbladder disease
contraindication,contraindication,drug,scopolamine,disease,liver disease
contraindication,contraindication,drug,scopolamine,disease,gallbladder disease
contraindication,contraindication,drug,isotretinoin,disease,liver disease
contraindication,contraindication,drug,isotretinoin,disease,gallbladder disease
contraindication,contraindication,drug,fentanyl,disease,liver disease
contraindication,contraindication,drug,fentanyl,disease,gallbladder disease
contraindication,contraindication,drug,galantamine,disease,liver disease
contraindication,contraindication,drug,galantamine,disease,gallbladder disease
contraindication,contraindication,drug,zidovudine,disease,liver disease
contraindication,contraindication,drug,zidovudine,disease,gallbladder disease
contraindication,contraindication,drug,memantine,disease,liver disease
contraindication,contraindication,drug,memantine,disease,gallbladder disease
contraindication,contraindication,drug,ezetimibe,disease,liver disease
contraindication,contraindication,drug,ezetimibe,disease,gallbladder disease
contraindication,contraindication,drug,ibuprofen,disease,liver disease
contraindication,contraindication,drug,ibuprofen,disease,gallbladder disease
contraindication,contraindication,drug,halothane,disease,liver disease
contraindication,contraindication,drug,halothane,disease,gallbladder disease
contraindication,contraindication,drug,bosentan,disease,liver disease
contraindication,contraindication,drug,bosentan,disease,gallbladder disease
contraindication,contraindication,drug,yohimbine,disease,liver disease
contraindication,contraindication,drug,yohimbine,disease,gallbladder disease
contraindication,contraindication,drug,bacitracin,disease,liver disease
contraindication,contraindication,drug,bacitracin,disease,gallbladder disease
contraindication,contraindication,drug,trimethoprim,disease,thrombocytopenia
contraindication,contraindication,drug,mannitol,disease,thrombocytopenia
contraindication,contraindication,drug,scopolamine,disease,thrombocytopenia
contraindication,contraindication,drug,ibuprofen,disease,thrombocytopenia
contraindication,contraindication,drug,bosentan,disease,thrombocytopenia
contraindication,contraindication,drug,prednisone,disease,hyperglycemia
contraindication,contraindication,drug,resorcinol,disease,exanthem (disease)
contraindication,contraindication,drug,prednisone,disease,measles
contraindication,contraindication,drug,amantadine,disease,congestive heart failure
contraindication,contraindication,drug,meloxicam,disease,congestive heart failure
contraindication,contraindication,drug,metformin,disease,congestive heart failure
contraindication,contraindication,drug,prednisone,disease,congestive heart failure
contraindication,contraindication,drug,bosentan,disease,congestive heart failure
contraindication,contraindication,drug,prednisone,disease,herpes simplex virus keratitis
contraindication,contraindication,drug,bacitracin,disease,herpes simplex virus keratitis
contraindication,contraindication,drug,metformin,disease,hypopituitarism
contraindication,contraindication,drug,metformin,disease,isolated congenital growth hormone deficiency
contraindication,contraindication,drug,metformin,disease,hypogonadotropic hypogonadism with or without anosmia
contraindication,contraindication,drug,metformin,disease,isolated growth hormone deficiency
contraindication,contraindication,drug,metformin,disease,short stature due to growth hormone qualitative anomaly
contraindication,contraindication,drug,metformin,disease,"combined pituitary hormone deficiencies, genetic form"
contraindication,contraindication,drug,metformin,disease,pituitary deficiency
contraindication,contraindication,drug,metformin,disease,congenital hypogonadotropic hypogonadism
contraindication,contraindication,drug,metformin,disease,non-acquired combined pituitary hormone deficiencies without extra-pituitary malformations
contraindication,contraindication,drug,metformin,disease,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome
contraindication,contraindication,drug,metformin,disease,hypogonadotropic hypogonadism
contraindication,contraindication,drug,metformin,disease,non-acquired combined pituitary hormone deficiency
contraindication,contraindication,drug,metformin,disease,kallmann syndrome
contraindication,contraindication,drug,metformin,disease,short stature due to isolated growth hormone deficiency with x-linked hypogammaglobulinemia
contraindication,contraindication,drug,metformin,disease,x-linked intellectual disability with isolated growth hormone deficiency
contraindication,contraindication,drug,metformin,disease,pituitary deficiency due to rathke's pouch cysts
contraindication,contraindication,drug,metformin,disease,pituitary deficiency due to empty sella turcica syndrome
contraindication,contraindication,drug,metformin,disease,sheehan syndrome
contraindication,contraindication,drug,metformin,disease,non-acquired pituitary hormone deficiency
contraindication,contraindication,drug,metformin,disease,acquired pituitary hormone deficiency
contraindication,contraindication,drug,metformin,disease,pituitary hormone defiency from vascular origin
contraindication,contraindication,drug,metformin,disease,thymus gland disease
contraindication,contraindication,drug,prednisone,disease,hypopituitarism
contraindication,contraindication,drug,prednisone,disease,isolated congenital growth hormone deficiency
contraindication,contraindication,drug,prednisone,disease,hypogonadotropic hypogonadism with or without anosmia
contraindication,contraindication,drug,prednisone,disease,isolated growth hormone deficiency
contraindication,contraindication,drug,prednisone,disease,short stature due to growth hormone qualitative anomaly
contraindication,contraindication,drug,prednisone,disease,"combined pituitary hormone deficiencies, genetic form"
contraindication,contraindication,drug,prednisone,disease,pituitary deficiency
contraindication,contraindication,drug,prednisone,disease,congenital hypogonadotropic hypogonadism
contraindication,contraindication,drug,prednisone,disease,non-acquired combined pituitary hormone deficiencies without extra-pituitary malformations
contraindication,contraindication,drug,prednisone,disease,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome
contraindication,contraindication,drug,prednisone,disease,hypogonadotropic hypogonadism
contraindication,contraindication,drug,prednisone,disease,non-acquired combined pituitary hormone deficiency
contraindication,contraindication,drug,prednisone,disease,kallmann syndrome
contraindication,contraindication,drug,prednisone,disease,short stature due to isolated growth hormone deficiency with x-linked hypogammaglobulinemia
contraindication,contraindication,drug,prednisone,disease,x-linked intellectual disability with isolated growth hormone deficiency
contraindication,contraindication,drug,prednisone,disease,pituitary deficiency due to rathke's pouch cysts
contraindication,contraindication,drug,prednisone,disease,pituitary deficiency due to empty sella turcica syndrome
contraindication,contraindication,drug,prednisone,disease,sheehan syndrome
contraindication,contraindication,drug,prednisone,disease,non-acquired pituitary hormone deficiency
contraindication,contraindication,drug,prednisone,disease,acquired pituitary hormone deficiency
contraindication,contraindication,drug,prednisone,disease,pituitary hormone defiency from vascular origin
contraindication,contraindication,drug,prednisone,disease,thymus gland disease
contraindication,contraindication,drug,prednisone,disease,cerebral malaria
contraindication,contraindication,drug,metformin,disease,adrenocortical insufficiency
contraindication,contraindication,drug,metformin,disease,addison disease
contraindication,contraindication,drug,ketoconazole,disease,adrenocortical insufficiency
contraindication,contraindication,drug,ketoconazole,disease,addison disease
contraindication,contraindication,drug,bacitracin,disease,adrenocortical insufficiency
contraindication,contraindication,drug,bacitracin,disease,addison disease
contraindication,contraindication,drug,morphine,disease,hypothyroidism
contraindication,contraindication,drug,morphine,disease,myxedema
contraindication,contraindication,drug,morphine,disease,congenital hypothyroidism
contraindication,contraindication,drug,prednisone,disease,hypothyroidism
contraindication,contraindication,drug,prednisone,disease,myxedema
contraindication,contraindication,drug,prednisone,disease,congenital hypothyroidism
contraindication,contraindication,drug,ibuprofen,disease,hypothyroidism
contraindication,contraindication,drug,ibuprofen,disease,myxedema
contraindication,contraindication,drug,ibuprofen,disease,congenital hypothyroidism
contraindication,contraindication,drug,prednisone,disease,strongyloidiasis
contraindication,contraindication,drug,isotretinoin,disease,angioedema
contraindication,contraindication,drug,isotretinoin,disease,acquired angioedema
contraindication,contraindication,drug,isotretinoin,disease,renin-angiotensin-aldosterone system-blocker-induced angioedema
contraindication,contraindication,drug,isotretinoin,disease,non-histaminic angioedema
contraindication,contraindication,drug,isotretinoin,disease,hereditary angioedema
contraindication,contraindication,drug,prednisone,disease,peptic ulcer disease
contraindication,contraindication,drug,galantamine,disease,peptic ulcer disease
contraindication,contraindication,drug,ketoprofen,disease,peptic ulcer disease
contraindication,contraindication,drug,ibuprofen,disease,peptic ulcer disease
contraindication,contraindication,drug,prednisone,disease,osteonecrosis
contraindication,contraindication,drug,prednisone,disease,primary avascular
contraindication,contraindication,drug,prednisone,disease,open-angle glaucoma
contraindication,contraindication,drug,scopolamine,disease,open-angle glaucoma
contraindication,contraindication,drug,bacitracin,disease,open-angle glaucoma
contraindication,contraindication,drug,prednisone,disease,cirrhosis of liver
contraindication,contraindication,drug,ribavirin,disease,cirrhosis of liver
contraindication,contraindication,drug,moxifloxacin,disease,cirrhosis of liver
contraindication,contraindication,drug,prednisone,disease,varicella zoster infection
contraindication,contraindication,drug,isotretinoin,disease,inflammatory bowel disease
contraindication,contraindication,drug,fentanyl,disease,inflammatory bowel disease
contraindication,contraindication,drug,ibuprofen,disease,inflammatory bowel disease
contraindication,contraindication,drug,clarithromycin,disease,osteoporosis
contraindication,contraindication,drug,clarithromycin,disease,postmenopausal osteoporosis
contraindication,contraindication,drug,metformin,disease,osteoporosis
contraindication,contraindication,drug,metformin,disease,postmenopausal osteoporosis
contraindication,contraindication,drug,prednisone,disease,osteoporosis
contraindication,contraindication,drug,prednisone,disease,postmenopausal osteoporosis
contraindication,contraindication,drug,isotretinoin,disease,osteoporosis
contraindication,contraindication,drug,isotretinoin,disease,postmenopausal osteoporosis
contraindication,contraindication,drug,prednisone,disease,tuberculosis
contraindication,contraindication,drug,isotretinoin,disease,systemic lupus erythematosus (disease)
contraindication,contraindication,drug,isotretinoin,disease,pediatric systemic lupus erythematosus
contraindication,contraindication,drug,ibuprofen,disease,systemic lupus erythematosus (disease)
contraindication,contraindication,drug,ibuprofen,disease,pediatric systemic lupus erythematosus
contraindication,contraindication,drug,amantadine,disease,psychotic disorder
contraindication,contraindication,drug,amantadine,disease,schizophreniform disorder
contraindication,contraindication,drug,amantadine,disease,mental disorder
contraindication,contraindication,drug,amantadine,disease,schizoaffective disorder
contraindication,contraindication,drug,morphine,disease,psychotic disorder
contraindication,contraindication,drug,morphine,disease,schizophreniform disorder
contraindication,contraindication,drug,morphine,disease,mental disorder
contraindication,contraindication,drug,morphine,disease,schizoaffective disorder
contraindication,contraindication,drug,prednisone,disease,psychotic disorder
contraindication,contraindication,drug,prednisone,disease,schizophreniform disorder
contraindication,contraindication,drug,prednisone,disease,mental disorder
contraindication,contraindication,drug,prednisone,disease,schizoaffective disorder
contraindication,contraindication,drug,tizanidine,disease,psychotic disorder
contraindication,contraindication,drug,tizanidine,disease,schizophreniform disorder
contraindication,contraindication,drug,tizanidine,disease,mental disorder
contraindication,contraindication,drug,tizanidine,disease,schizoaffective disorder
contraindication,contraindication,drug,scopolamine,disease,psychotic disorder
contraindication,contraindication,drug,scopolamine,disease,schizophreniform disorder
contraindication,contraindication,drug,scopolamine,disease,mental disorder
contraindication,contraindication,drug,scopolamine,disease,schizoaffective disorder
contraindication,contraindication,drug,isotretinoin,disease,psychotic disorder
contraindication,contraindication,drug,isotretinoin,disease,schizophreniform disorder
contraindication,contraindication,drug,isotretinoin,disease,mental disorder
contraindication,contraindication,drug,isotretinoin,disease,schizoaffective disorder
contraindication,contraindication,drug,prednisone,disease,fungal infectious disease
contraindication,contraindication,drug,prednisone,disease,dermatophytosis
contraindication,contraindication,drug,prednisone,disease,myopathy
contraindication,contraindication,drug,prednisone,disease,muscular disease
contraindication,contraindication,drug,prednisone,disease,skeletal muscle disease
contraindication,contraindication,drug,prednisone,disease,familial periodic paralysis
contraindication,contraindication,drug,zidovudine,disease,myopathy
contraindication,contraindication,drug,zidovudine,disease,muscular disease
contraindication,contraindication,drug,zidovudine,disease,skeletal muscle disease
contraindication,contraindication,drug,zidovudine,disease,familial periodic paralysis
contraindication,contraindication,drug,ezetimibe,disease,myopathy
contraindication,contraindication,drug,ezetimibe,disease,muscular disease
contraindication,contraindication,drug,ezetimibe,disease,skeletal muscle disease
contraindication,contraindication,drug,ezetimibe,disease,familial periodic paralysis
contraindication,contraindication,drug,metformin,disease,adrenal insufficiency
contraindication,contraindication,drug,fentanyl,disease,asthma
contraindication,contraindication,drug,fentanyl,disease,intrinsic asthma
contraindication,contraindication,drug,fentanyl,disease,allergic asthma
contraindication,contraindication,drug,ribavirin,disease,asthma
contraindication,contraindication,drug,ribavirin,disease,intrinsic asthma
contraindication,contraindication,drug,ribavirin,disease,allergic asthma
contraindication,contraindication,drug,galantamine,disease,asthma
contraindication,contraindication,drug,galantamine,disease,intrinsic asthma
contraindication,contraindication,drug,galantamine,disease,allergic asthma
contraindication,contraindication,drug,morphine,disease,potassium deficiency disease
contraindication,contraindication,drug,prednisone,disease,potassium deficiency disease
contraindication,contraindication,drug,isotretinoin,disease,potassium deficiency disease
contraindication,contraindication,drug,fentanyl,disease,potassium deficiency disease
contraindication,contraindication,drug,ibuprofen,disease,potassium deficiency disease
contraindication,contraindication,drug,moxifloxacin,disease,potassium deficiency disease
contraindication,contraindication,drug,prednisone,disease,muscular atrophy
contraindication,contraindication,drug,prednisone,disease,anterior horn disease
contraindication,contraindication,drug,moxifloxacin,disease,tendinitis
contraindication,contraindication,drug,moxifloxacin,disease,exostosis
contraindication,contraindication,drug,moxifloxacin,disease,periarthritis
contraindication,contraindication,drug,meloxicam,disease,gastritis
contraindication,contraindication,drug,prednisone,disease,gastritis
contraindication,contraindication,drug,metformin,disease,infectious disease
contraindication,contraindication,drug,prednisone,disease,infectious disease
contraindication,contraindication,drug,desmopressin,disease,allergic rhinitis
contraindication,contraindication,drug,desmopressin,disease,vasomotor rhinitis
contraindication,contraindication,drug,prednisone,disease,herpes simplex infectious disease
contraindication,contraindication,drug,ribavirin,disease,sarcoidosis
contraindication,contraindication,drug,esmolol,disease,diabetes mellitus (disease)
contraindication,contraindication,drug,esmolol,disease,diabetic ketoacidosis
contraindication,contraindication,drug,meloxicam,disease,diabetes mellitus (disease)
contraindication,contraindication,drug,meloxicam,disease,diabetic ketoacidosis
contraindication,contraindication,drug,acitretin,disease,diabetes mellitus (disease)
contraindication,contraindication,drug,acitretin,disease,diabetic ketoacidosis
contraindication,contraindication,drug,prednisone,disease,diabetes mellitus (disease)
contraindication,contraindication,drug,prednisone,disease,diabetic ketoacidosis
contraindication,contraindication,drug,scopolamine,disease,diabetes mellitus (disease)
contraindication,contraindication,drug,scopolamine,disease,diabetic ketoacidosis
contraindication,contraindication,drug,isotretinoin,disease,diabetes mellitus (disease)
contraindication,contraindication,drug,isotretinoin,disease,diabetic ketoacidosis
contraindication,contraindication,drug,ibuprofen,disease,diabetes mellitus (disease)
contraindication,contraindication,drug,ibuprofen,disease,diabetic ketoacidosis
contraindication,contraindication,drug,bacitracin,disease,diabetes mellitus (disease)
contraindication,contraindication,drug,bacitracin,disease,diabetic ketoacidosis
contraindication,contraindication,drug,resorcinol,disease,diabetes mellitus (disease)
contraindication,contraindication,drug,resorcinol,disease,diabetic ketoacidosis
contraindication,contraindication,drug,prednisone,disease,obsolete pathologic fracture
contraindication,contraindication,drug,amantadine,disease,melanoma
contraindication,contraindication,drug,morphine,disease,benign prostatic hyperplasia (disease)
contraindication,contraindication,drug,scopolamine,disease,benign prostatic hyperplasia (disease)
contraindication,contraindication,drug,fentanyl,disease,benign prostatic hyperplasia (disease)
contraindication,contraindication,drug,ibuprofen,disease,benign prostatic hyperplasia (disease)
contraindication,contraindication,drug,isotretinoin,disease,obsolete hyperuricemia (disease)
contraindication,contraindication,drug,trimethoprim,disease,neutropenia
contraindication,contraindication,drug,trimethoprim,disease,agranulocytosis
contraindication,contraindication,drug,mannitol,disease,neutropenia
contraindication,contraindication,drug,mannitol,disease,agranulocytosis
contraindication,contraindication,drug,scopolamine,disease,neutropenia
contraindication,contraindication,drug,scopolamine,disease,agranulocytosis
contraindication,contraindication,drug,isotretinoin,disease,neutropenia
contraindication,contraindication,drug,isotretinoin,disease,agranulocytosis
contraindication,contraindication,drug,zidovudine,disease,neutropenia
contraindication,contraindication,drug,zidovudine,disease,agranulocytosis
contraindication,contraindication,drug,isotretinoin,disease,hereditary angioedema with c1inh deficiency
contraindication,contraindication,drug,tadalafil,disease,aortic stenosis
contraindication,contraindication,drug,tadalafil,disease,aortic valve stenosis
contraindication,contraindication,drug,tadalafil,disease,aortic valve disease
contraindication,contraindication,drug,tadalafil,disease,supravalvular aortic stenosis (disease)
contraindication,contraindication,drug,sildenafil,disease,aortic stenosis
contraindication,contraindication,drug,sildenafil,disease,aortic valve stenosis
contraindication,contraindication,drug,sildenafil,disease,aortic valve disease
contraindication,contraindication,drug,sildenafil,disease,supravalvular aortic stenosis (disease)
contraindication,contraindication,drug,morphine,disease,hypotensive disorder
contraindication,contraindication,drug,nitroglycerin,disease,hypotensive disorder
contraindication,contraindication,drug,tizanidine,disease,hypotensive disorder
contraindication,contraindication,drug,isotretinoin,disease,hypotensive disorder
contraindication,contraindication,drug,fentanyl,disease,hypotensive disorder
contraindication,contraindication,drug,tadalafil,disease,hypotensive disorder
contraindication,contraindication,drug,ibuprofen,disease,hypotensive disorder
contraindication,contraindication,drug,halothane,disease,hypotensive disorder
contraindication,contraindication,drug,yohimbine,disease,hypotensive disorder
contraindication,contraindication,drug,sildenafil,disease,hypotensive disorder
contraindication,contraindication,drug,isotretinoin,disease,hyperparathyroidism
contraindication,contraindication,drug,isotretinoin,disease,osteitis fibrosa
contraindication,contraindication,drug,mannitol,disease,hepatic coma
contraindication,contraindication,drug,mannitol,disease,hepatic encephalopathy
contraindication,contraindication,drug,scopolamine,disease,hepatic coma
